koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition,mission
12.86772,7.720632,1000.0,71.0,10.0,FALSE POSITIVE,Transit
12.866412,7.7198472,1000.0,61.0,10.0,FALSE POSITIVE,Transit
12.866539,7.719923400000001,1000.0,22.3,10.0,FALSE POSITIVE,Transit
1.8461222,1.10767332,1000.0,19.5,10.0,FALSE POSITIVE,Transit
1.84617,1.1077020000000002,1000.0,2.14,10.0,FALSE POSITIVE,Transit
0.5217136,0.31302816,1000.0,452.0,10.0,CANDIDATE,Transit
11.975818,7.1854908,1000.0,8.43,10.0,CANDIDATE,Transit
11.97495,7.18497,1000.0,256.0,10.0,CANDIDATE,Transit
5.9895,3.5937,1000.0,2.04,10.0,CANDIDATE,Transit
28.707623,17.2245738,1000.0,21.2,10.0,CANDIDATE,Transit
15.4715,9.282900000000001,1000.0,9.2,10.0,CANDIDATE,Transit
15.465691,9.2794146,1000.0,4.13,10.0,CANDIDATE,Transit
15.466674,9.2800044,1000.0,16.12109089,10.0,CANDIDATE,Transit
1.45556515,0.87333909,1000.0,71.0,10.0,CANDIDATE,Transit
3.3262396,1.9957437600000003,1000.0,1.16,10.0,CANDIDATE,Transit
3.3255,1.9953,1000.0,1080.0,10.0,CANDIDATE,Transit
13.1426,7.88556,1000.0,200.0,10.0,CANDIDATE,Transit
4.474513,2.6847078,1000.0,8.16881084,10.0,CANDIDATE,Transit
4.4743465,2.6846079000000005,1000.0,3.06,10.0,CANDIDATE,Transit
4.47471,2.684826,1000.0,22.0,10.0,CANDIDATE,Transit
2.1989041,1.31934246,1000.0,46.6,10.0,CANDIDATE,Transit
4.1657292,2.4994375200000003,1000.0,1.86,10.0,CANDIDATE,Transit
0.2358684,0.14152104000000001,1000.0,6.1,10.0,CANDIDATE,Transit
12.99109,7.794654,1000.0,43.0,10.0,CANDIDATE,Transit
1.7359447,1.04156682,1000.0,1.89,10.0,CANDIDATE,Transit
1.8389349,1.10336094,1000.0,0.837,10.0,CANDIDATE,Transit
1.83916,1.103496,1000.0,0.62,10.0,CANDIDATE,Transit
2.032664,1.2195984000000002,1000.0,1.92,10.0,CANDIDATE,Transit
6.11706,3.6702360000000005,1000.0,1.76,10.0,CANDIDATE,Transit
1.859017,1.1154102,1000.0,64.0,10.0,CANDIDATE,Transit
1.8590179,1.1154107400000002,1000.0,30.5,10.0,CANDIDATE,Transit
540.0,324.0,1000.0,5.7,10.0,CANDIDATE,Transit
0.841202,0.5047212000000001,1000.0,82.0,10.0,FALSE POSITIVE,Transit
0.8411257,0.50467542,1000.0,0.884,10.0,CANDIDATE,Transit
0.17566,0.10539600000000002,1000.0,3.11,10.0,CANDIDATE,Transit
