koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition
3.3226948,3.568,78.7,15.33,8.6,FALSE POSITIVE
36.97708808,4.737,1269.9,38.6,59.2,FALSE POSITIVE
1.851409163,10.232,232.5,20.42,54.4,FALSE POSITIVE
1.303859704,2.8239,36.7,0.98,34.7,FALSE POSITIVE
3.749105745,1.9826,182.6,1.68,38.0,CONFIRMED
11.08956602,6.2877,148.1,3.51,38.9,CONFIRMED
7.37290344,2.172,205.2,2.67,19.1,CANDIDATE
7.24476126,2.3145,58.0,0.65,27.2,FALSE POSITIVE
119.0624882,3.1188,5372.3,10.4,71.6,CANDIDATE
8.70798309,2.4904,1419.6,2.01,28.1,CONFIRMED
14.8623076,3.161,840.0,1.57,14.4,CANDIDATE
4.17634276,2.335,531.5,1.23,14.9,CONFIRMED
27.40229859,6.8491,747.5,3.63,79.3,CONFIRMED
3.179267286,1.0246,200.9,1.21,41.0,CONFIRMED
10.38122447,2.715,801.5,2.18,41.9,CONFIRMED
24.5709023,3.587,764.2,2.82,26.3,CONFIRMED
0.817026268,2.0799,1145.5,2.92,121.1,FALSE POSITIVE
5.670155713,0.9361,536.7,5.85,37.3,FALSE POSITIVE
1.022678654,1.3712,129.2,1.14,21.6,CONFIRMED
12.10968709,6.3461,284.7,2.98,33.4,CONFIRMED
4.75796103,4.66,124.5,1.7,20.9,CONFIRMED
20.4972755,8.536,242.9,2.96,22.8,CONFIRMED
13.55480534,2.288,48.3,0.62,16.5,FALSE POSITIVE
0.844786082,3.5289,2468.5,35.27,245.6,FALSE POSITIVE
0.848483947,1.4451,1907.4,32.11,185.0,FALSE POSITIVE
11.99097576,5.7401,2124.3,37.47,102.8,FALSE POSITIVE
53.5292702,5.668,1086.1,2.28,34.5,CONFIRMED
0.393726813,2.95,564.6,24.17,64.8,FALSE POSITIVE
2.757584622,0.9267,563.1,1.01,19.6,CONFIRMED
0.928310036,1.1899,376.2,1.16,22.6,CONFIRMED
13.48457668,5.0197,653.5,3.39,80.8,CONFIRMED
31.8841473,6.122,910.0,3.7,25.3,CONFIRMED
12.06222962,2.0584,300.2,1.62,32.4,CONFIRMED
9.93146307,5.678,398.6,2.41,26.2,CONFIRMED
21.85362905,3.439,355.6,1.75,23.0,CONFIRMED
8.19345065,5.234,115.4,1.74,15.7,CONFIRMED
19.97867,10.168,944.3,6.85,86.2,FALSE POSITIVE
